ac_number,constituency,winner_candidate,winner_party,winner_votes,turnout,region,reserved,runner_candidate,runner_party,runner_votes,margin
185,Tiruppattur,SEENIVASA SETHUPATHY. R,TVK,83375,78.16,South,GEN,PERIAKARUPPAN. KR,DMK,83374,1
54,Veppanahalli,SRINIVASAN.P.S,DMK,74691,90.22,North,GEN,MUNUSAMY.K.P,AIADMK,74553,138
229,Kanniyakumari,THALAVAI SUNDARAM. N,AIADMK,75045,82.59,South,GEN,MAHESH.R,DMK,74831,214
66,Polur,ABISHEK. R,TVK,67961,90.07,North,GEN,SARAVANAN. P,DMDK,67734,227
76,Tirukkoyilur,PALANISAMY S,AIADMK,73033,89.28,Central,GEN,VIJAY R BARANIBALAAJI,TVK,72748,285
95,Paramathi-Velur,SEKAR S,AIADMK,61349,92.02,Central,GEN,MOORTHIY K S,DMK,61041,308
137,Kulithalai,SURIYANUR. A. CHANDRAN,DMK,68138,93.6,Kongu,GEN,G.BALASUBRAMANI,TVK,67559,579
171,Kumbakonam,VINOTH,TVK,78650,81.88,Delta,GEN,ANBALAGAN G,DMK,77971,679
127,Palani,RAVIMANOHARAN. K,AIADMK,66986,86.97,South,GEN,DR. PRAVEEN KUMAR. M,TVK,66293,693
72,Tindivanam,VANNI ARASU,VCK,63833,89.39,Central,SC,ARJUNAN. P,AIADMK,63099,734
