ac_number,constituency,winner_candidate,winner_party,winner_votes,turnout,region,reserved,runner_candidate,runner_party,runner_votes,margin
1,Gummidipundi,GOVINDARAJAN T.J,DMK,126452,78.08,Chennai Metro,GEN,PRAKASH M,PMK,75514,50938
2,Ponneri,DURAI. CHANDRASEKAR,INC,94528,78.2,Chennai Metro,SC,BALARAMAN. P,AIADMK,84839,9689
3,Tiruttani,S.Chandran,DMK,120314,78.76,Chennai Metro,GEN,G.Hari,AIADMK,91061,29253
4,Thiruvallur,"RAAJENDRAN, V.G.",DMK,107709,77.2,Chennai Metro,GEN,"RAMANAH, BE VEE",AIADMK,85008,22701
5,Poonamallee,Krishnaswamy A,DMK,149578,72.99,Chennai Metro,SC,Rajamannar S X,PMK,55468,94110
6,Avadi,Nasar S M,DMK,150287,67.37,Chennai Metro,GEN,Pandiarajan K,AIADMK,95012,55275
7,Maduravoyal,GANAPATHY.K,DMK,121298,60.3,Chennai Metro,GEN,BENJAMIN.P,AIADMK,89577,31721
8,Ambattur,JOSEPH SAMUEL,DMK,114554,62.01,Chennai Metro,GEN,V ALEXANDER,AIADMK,72408,42146
9,Madavaram,SUDHARSANAM. S,DMK,151485,66.37,Chennai Metro,GEN,Moorthy. V,AIADMK,94414,57071
10,Thiruvottiyur,K.P.SHANKAR,DMK,88185,65.15,Chennai Metro,GEN,K.KUPPAN,AIADMK,50524,37661
11,Dr. Radhakrishnan Nagar,EBENEZER. J.J. (@)  JOHN EBENEZER.J,DMK,95763,70.98,Chennai Metro,GEN,RAAJESH.R.S.,AIADMK,53284,42479
12,Perambur,SHEKAR. R.D,DMK,105267,63.0,Chennai Metro,GEN,DHANAPALAN N.R,AIADMK,50291,54976
13,Kolathur,M.K. STALIN,DMK,105522,61.04,Chennai Metro,GEN,AADIRAJARAM,AIADMK,35138,70384
14,Villivakkam,A . Vetriazhagan,DMK,76127,55.92,Chennai Metro,GEN,J.C.D.Prabhakar,AIADMK,38890,37237
15,Thiru-Vi-Ka-Nagar,SIVAKUMAR.P,DMK,81727,60.62,Chennai Metro,SC,KALYANI.P.L,AIADMK,26714,55013
16,Egmore,I.PARANTHAMEN,DMK,68832,61.13,Chennai Metro,SC,B.JOHN PANDIAN,AIADMK,30064,38768
17,Royapuram,MURTHY.R.IDREAM,DMK,64424,62.6,Chennai Metro,GEN,JAYAKUMAR.D,AIADMK,36645,27779
18,Harbour,SEKARBABU. P.K,DMK,59317,57.64,Chennai Metro,GEN,VINOJ. P. SELVAM,BJP,32043,27274
